original_name,original_ street,original_ city,original_ country,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Imperial Crypt," Tegetthoffstraße 2"," 1010 Wien"," Austria",48.205515,16.369933,"Tegetthoffstraße 2, 1010 Vienna, Austria",,2,Tegetthoffstraße,1010,Wien,Inner CIty,Vienna,Vienna,Austria,at,0.45,0.5,0.45,© OpenAddresses contributors,BSD-3-Clause License,
Augustinerkirche," Augustinerstraße 3"," 1010 Wien"," Austria",48.205317,16.368031,"Augustinerstraße 3, 1010 Vienna, Austria",,3,Augustinerstraße,1010,Wien,Inner CIty,Vienna,Vienna,Austria,at,0.45,0.5,0.45,© OpenAddresses contributors,BSD-3-Clause License,
Michaelerkirche," Michaelerplatz 5"," 1010 Wien"," Austria",48.208077,16.366982,"Michaelerplatz 5, 1010 Vienna, Austria",,5,Michaelerplatz,1010,Wien,Hofburg,Vienna,Vienna,Austria,at,0.45,0.5,0.45,© OpenAddresses contributors,BSD-3-Clause License,
Secession museum," Friedrichstraße 12"," 1010 Wien"," Austria",48.200386,16.365934,"Friedrichstraße 12, 1010 Vienna, Austria",,12,Friedrichstraße,1010,Wien,Wieden,Vienna,Vienna,Austria,at,0.3333333333333333,0.6666666666666666,0.3333333333333333,© OpenAddresses contributors,BSD-3-Clause License,
Metalab," Rathausstraße 6"," 1010 Wien"," Austria·",48.209447,16.356136534073684,"Metalab, Rathausstraße 6, 1010 Vienna, Austria",Metalab,6,Rathausstraße,1010,Innere Stadt,,Vienna,,Austria,at,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kunst Haus Wien," Untere Weißgerberstraße 13"," 1030 Wien"," Austria",48.211037,16.393246,"Untere Weißgerberstraße 13, 1030 Vienna, Austria",,13,Untere Weißgerberstraße,1030,Wien,Wien-Mitte,Vienna,Vienna,Austria,at,0.33333333333333337,0.5,0.33333333333333337,© OpenAddresses contributors,BSD-3-Clause License,
Fälschermuseum," Löwengasse 28"," 1030 Wien"," Austria",48.20773,16.393293,"Löwengasse 28, 1030 Vienna, Austria",,28,Löwengasse,1030,Wien,Wien-Mitte,Vienna,Vienna,Austria,at,0.25,0.5,0.25,© OpenAddresses contributors,BSD-3-Clause License,
Heeresgeschichtliches Museum," Arsenal 1"," 1030 Wien"," Austria",48.184294,16.388979,"Arsenal Objekt 1, 1030 Vienna, Austria",,Objekt 1,Arsenal,1030,Wien,Sudbahnhof,Vienna,Vienna,Austria,at,0.45,0.5,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tolstoy," Rechte Wienzeile 1B"," 1040 Wien"," Austria",48.1994186,16.3658689,"Rechte Wienzeile 1B, 1040 Vienna, Austria",,1B,Rechte Wienzeile,1040,Wieden,KG Wieden,Vienna,,Austria,at,0.4444444444444445,0.6666666666666666,0.4444444444444445,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Breakfast Club," Schleifmühlgasse 12-14"," 1040 Wien"," Austria",48.197439,16.365254,"Schleifmühlgasse 12-14, 1040 Vienna, Austria",,12-14,Schleifmühlgasse,1040,Wien,Wieden,Vienna,Vienna,Austria,at,0.22222222222222224,0.6666666666666666,0.22222222222222224,© OpenAddresses contributors,BSD-3-Clause License,
Bánh Mì," Faulmanngasse 1"," 1040 Wien"," Austria",48.198459,16.365935,"Faulmanngasse 1, 1040 Vienna, Austria",,1,Faulmanngasse,1040,Wien,Wieden,Vienna,Vienna,Austria,at,0.6,0.6666666666666666,0.6,© OpenAddresses contributors,BSD-3-Clause License,
Johnny's Pub," Schleifmühlgasse 11"," 1040 Wien"," Austria",48.197162,16.36525,"Schleifmühlgasse 11, 1040 Vienna, Austria",,11,Schleifmühlgasse,1040,Wien,Wieden,Vienna,Vienna,Austria,at,0.3333333333333333,0.6666666666666666,0.3333333333333333,© OpenAddresses contributors,BSD-3-Clause License,
Top Kino and Bar," Rahlgasse 1"," 1060 Wien"," Austria",48.201367,16.361611,"Rahlgasse 1, 1060 Vienna, Austria",,1,Rahlgasse,1060,Wien,Hofburg,Vienna,Vienna,Austria,at,0.45,0.5,0.45,© OpenAddresses contributors,BSD-3-Clause License,
Li's Cooking," Naschmarkt Stand 126-129 Gegenüber von Theater an der"," 1060 Wien"," Austria",,,,,,,,,,,,,,,,,,,
Sex World and Spartacus," Mariahilfer Str. 36/40"," 1070 Wien"," Austria",48.199971,16.354285,"Mariahilfer Straße 38-40, 1070 Vienna, Austria",,38-40,Mariahilfer Straße,1070,Wien,Mariahilf,Vienna,Vienna,Austria,at,0.19845,0.5,0.19845,© OpenAddresses contributors,BSD-3-Clause License,
Burggasse 21 Art Gallery," Burggasse 21"," 1070 Wien"," Austria",48.204062,16.354692,"Burggasse 21, 1070 Vienna, Austria",,21,Burggasse,1070,Wien,Hofburg,Vienna,Vienna,Austria,at,0.25,0.5,0.25,© OpenAddresses contributors,BSD-3-Clause License,
