name, street, district, country
Imperial Crypt, Tegetthoffstraße 2, 1010 Wien, Austria
Augustinerkirche, Augustinerstraße 3, 1010 Wien, Austria
Michaelerkirche, Michaelerplatz 5, 1010 Wien, Austria
Secession museum, Friedrichstraße 12, 1010 Wien, Austria
Metalab, Rathausstraße 6, 1010 Wien, Austria 
Kunst Haus Wien, Untere Weißgerberstraße 13, 1030 Wien, Austria
Fälschermuseum, Löwengasse 28, 1030 Wien, Austria
Heeresgeschichtliches Museum, Arsenal 1, 1030 Wien, Austria
Tolstoy, Rechte Wienzeile 1B, 1040 Wien, Austria
Breakfast Club, Schleifmühlgasse 12-14, 1040 Wien, Austria
Bánh Mì, Faulmanngasse 1, 1040 Wien, Austria
Johnny's Pub, Schleifmühlgasse 11, 1040 Wien, Austria
Top Kino and Bar, Rahlgasse 1, 1060 Wien, Austria
Li's Cooking, Naschmarkt Stand 126-129 Gegenüber von Theater an der, 1060 Wien, Austria
Sex World and Spartacus, Mariahilfer Str. 36/40, 1070 Wien, Austria
Burggasse 21 Art Gallery, Burggasse 21, 1070 Wien, Austria


